start|end|number
0|0|5
0|1|2
0|2|3
0|3|3
1|0|1
1|1|2
1|2|3
2|2|2
2|0|4
2|3|2
3|2|1
3|0|1
4|2|4
4|1|2
5|2|1
5|0|3
8|2|1
7|2|2
9|2|4
9|0|2
9|1|1
10|2|5
10|0|5
11|2|3
11|0|2
11|1|1
19|2|3
19|0|1
19|1|1
19|3|2
12|1|3
18|2|12
18|1|6
18|3|4
20|2|5
20|1|6
21|2|4
21|1|3
13|2|3
13|1|2
14|2|7
14|0|8
14|1|4
17|0|1
15|2|2
16|2|2
16|0|2
16|3|1
6|2|4
6|0|2
6|1|2
23|2|1
23|0|3
22|0|4
24|2|3
24|0|2
24|1|1
