id|field
0|数据库/数据挖掘/内容检索
1|计算机体系结构/并行与分布计算/存储系统
2|计算机科学理论
3|人工智能
4|交叉/综合/新兴
5|计算机网络
6|信息系统
7|软件工程/系统软件/程序设计语言
8|计算机图形学与多媒体
9|人机交互与普适计算
