start|end|number
0|1|2
0|2|1
0|3|1
1|0|1
1|2|1
3|3|1
6|0|3
6|1|2
6|2|2
7|1|1
8|1|1
9|0|1
9|1|1
13|1|3
13|2|3
14|1|3
15|0|2
15|1|2
15|2|1
15|3|2
11|1|1
12|2|1
19|0|2
19|1|1
22|0|6
22|1|5
22|3|1
23|2|1
17|0|4
17|1|1
18|0|3
18|1|5
18|2|2
26|1|1
