"__src_domain__","__src_entity_type__","__src_entity_id__","__relation_type__","__dest_domain__","__dest_entity_type__","__dest_entity_id__"
"acs","acs.sls.project","4535eec06d51f2eb0550da690068e60b","contains","acs","acs.sls.logstore","123ecf84b04b979309446edf09a6aad7"
"acs","acs.sls.project","1fbe0f33a00bfa560c8c57e6b00bcd8e","contains","acs","acs.sls.logstore","47ff2bdd7e17d0e2790589ebd5b39197"
"acs","acs.sls.project","c8eb65935be28db23fc541e4dc4d7cd5","contains","acs","acs.sls.logstore","888686dddb068907b7d86e1ad00fa893"
"acs","acs.sls.project","ba6fca39e13eb39788d439deb8036f95","contains","acs","acs.sls.logstore","d3bc981448ff1b24411a6849e1dbeac1"
"acs","acs.sls.project","11cdea233c3bca2c6c912388a1271bb2","contains","acs","acs.sls.logstore","0a6ff47b0e5913ec962e50cc9131db43"
"acs","acs.sls.project","0edc06746f35295fe12a97bca3d43cfa","contains","acs","acs.sls.logstore","c90343dc4a87374d71978cbb4a138553"
"acs","acs.sls.project","3fcff022f0f4cfc44af89ba92b6ac164","contains","acs","acs.sls.logstore","49db536a99481edeba3396c030d05b5c"
"acs","acs.sls.project","07d122b6b70db6b8b0176d8a924acc52","contains","acs","acs.sls.logstore","5223b35a13f09081a4ef77a88199bbf0"
"acs","acs.sls.project","3be276b63d2d0bf081f61e1c82470b0e","contains","acs","acs.sls.logstore","5f91415c92bcc22d2941d9b7e665ceb8"
"acs","acs.sls.project","2779c21a545474574babdd4bbce81a0c","contains","acs","acs.sls.logstore","22a9c04783342de4961f5191dd035450"
"acs","acs.sls.project","ba6c47ce8c6bebe455521e93ce272546","contains","acs","acs.sls.logstore","8ba101c4c0482759bfa2741e32a0b386"
"acs","acs.sls.project","d9d675f4814743a23d20b06f295d2f10","contains","acs","acs.sls.logstore","6fd345f79651141f5c5b0dfbe29f3a70"
"acs","acs.sls.project","4025dbe0fa9eade204cb55889a1d5498","contains","acs","acs.sls.logstore","485a8cd59b0b6dff7c3e84fed7603179"
"acs","acs.sls.project","f9559b9a0ca3cbe9b7bccf2827dd98b5","contains","acs","acs.sls.logstore","035b8d959d48f7d6aad41b4727b5b957"
"acs","acs.sls.project","5806fb8728fb86f91c13be7eed53ed5d","contains","acs","acs.sls.logstore","747b43bc9a100dcb44b058fe4516cfd0"
"acs","acs.sls.project","2d56fcf62ebadf8bb10cd6f55aff02f7","contains","acs","acs.sls.logstore","6e12baa3e354268a645403c4cc51b881"
"acs","acs.sls.project","7804315ecc5a2b895481279fdac46544","contains","acs","acs.sls.logstore","279544f73572d63e168d3727ea1e423a"
"acs","acs.sls.project","5806fb8728fb86f91c13be7eed53ed5d","contains","acs","acs.sls.logstore","39b6ce0ea49f4b04ca2610740b07a610"
"acs","acs.sls.project","2d56fcf62ebadf8bb10cd6f55aff02f7","contains","acs","acs.sls.logstore","4c5795006673cf5da39c32593c119cf1"
"acs","acs.sls.project","b17f0db40e7312def50fa092dcd43ed6","contains","acs","acs.sls.logstore","df33fdd473316714536f567791ebfd73"
"acs","acs.sls.project","3b40aa173f3a9ba7cc2fc4a8f8c804b6","contains","acs","acs.sls.logstore","d7c6aed98355fdb130fa69126b16960f"
"acs","acs.sls.project","c7abb9ee64eddd640deca8bd1803e717","contains","acs","acs.sls.logstore","4ff0f98cc668c5283e04d2a211481572"
"acs","acs.sls.project","42135b9a3cdce8b3ce6df3aae01aedcd","contains","acs","acs.sls.logstore","1b36423537e0cd8232924e83bd12c2d0"
"acs","acs.sls.project","67669304527cff38fdfc20a776559ccb","contains","acs","acs.sls.logstore","2cbbfe9f5014d6dd2e6ce25d5e19f361"
"acs","acs.sls.project","345d4e5e7da82bace5d4d2a38ef90687","contains","acs","acs.sls.logstore","a95f0c928e00b97705b3e6b561c33062"
"acs","acs.sls.project","da54f13a850414f4dde8da7e23d5150b","contains","acs","acs.sls.logstore","245d3e447645032b6a2f1cf8497560a3"
"acs","acs.sls.project","a17a8e4c01016467497ae051da66c2ed","contains","acs","acs.sls.logstore","31eec0be4af8c96b43c64808efaf4b72"
