start|end
5|0
6|0
5|9
6|9
5|10
6|10
14|11
27|15
35|29
45|37
27|46
55|52
61|56
66|62
72|67
72|73
79|78
27|81
71|85
91|87
59|92
96|95
99|97
104|100
108|105
5|105
6|105
115|111
25|116
5|121
6|121
25|128
136|130
115|137
142|141
115|144
149|147
151|150
153|152
156|154
158|157
96|159
151|161
166|162
