source|target
ce718e2b-ebfe-5cc9-8fca-fb62157ca238|257e68db-3eca-5c2b-a8dd-0670daf02e12
ce718e2b-ebfe-5cc9-8fca-fb62157ca238|149f1916-5e75-548b-8e23-fcaab82ef748
3d8063b5-69f4-5979-b144-e954152d8d9b|1deea2e1-8503-561c-b7c3-b63d420f4b0b
3d8063b5-69f4-5979-b144-e954152d8d9b|1b09fe6d-87f2-56b5-8e62-592071956b7e
9515ca63-19f2-55bf-b45c-ba1eda31ccb8|52fb65a3-7784-5619-a706-d81a22fde108
9515ca63-19f2-55bf-b45c-ba1eda31ccb8|1ffa5786-41c7-5035-84be-cfe1e6817ac0
faf44597-a5fd-5c6d-82be-f7c2bae1b2a8|36f81dac-f33e-5ad7-9b21-f831176db6dc
faf44597-a5fd-5c6d-82be-f7c2bae1b2a8|a7ce7cbd-1a1d-57a5-97a0-4f1504eb533f
13d8f711-860f-5a3b-856f-ddf4b38cede7|96ef8575-3987-555a-bfea-36c5b330135f
7929d6b4-bd91-5a5c-bced-2e98515fa2ed|52fb65a3-7784-5619-a706-d81a22fde108
7929d6b4-bd91-5a5c-bced-2e98515fa2ed|67cb5a7a-360c-521a-ace8-eefe0f4b9b0e
c299088d-2e9a-50ca-925b-e300ec8b6137|52fb65a3-7784-5619-a706-d81a22fde108
c299088d-2e9a-50ca-925b-e300ec8b6137|fde5343b-4323-5a25-9876-0da8bc5b3cde
bd1a2704-938f-5414-8674-1aab139f7478|67cb5a7a-360c-521a-ace8-eefe0f4b9b0e
bd1a2704-938f-5414-8674-1aab139f7478|52fb65a3-7784-5619-a706-d81a22fde108
7f212a83-25e9-534d-a751-23baedb19492|ce8c354d-031c-545d-8dd1-2b452a725b0a
8ce87105-8fd2-5e0d-977e-35f3d9a65cbb|52fb65a3-7784-5619-a706-d81a22fde108
323f7f75-f334-5804-b031-bb8b1f6d563d|ce8c354d-031c-545d-8dd1-2b452a725b0a
3ae1dae8-54fe-5160-8d98-8fc70518ce5b|52fb65a3-7784-5619-a706-d81a22fde108
ac59b0f4-2fbe-5c56-962c-6d55550fed84|c5ab0417-7445-501a-8756-efac81019599
19e3d7ed-ff13-578f-9c1d-63898c64be65|538b8b34-d925-588b-bafd-53546b72f8e1
b5e2f9cd-9696-51b1-8b91-f6760b863ece|f048a647-c4d7-585b-a735-753dce7531df
4dacaca9-df5b-5e12-88a6-ce3bc7a6e814|ebb21d36-ade1-557f-b334-5ecefe57e4c0
4dacaca9-df5b-5e12-88a6-ce3bc7a6e814|145d47e0-ea89-541d-83bc-7bda4657cd55
4dacaca9-df5b-5e12-88a6-ce3bc7a6e814|d436e361-c342-5385-89ca-26ec4f7b2df3
d99c679c-0bdc-5cd0-a780-b6a2387144eb|25a5dfef-2a70-5629-b1fb-1bc3ae26c09f
d99c679c-0bdc-5cd0-a780-b6a2387144eb|570fb8ea-0f41-5981-9d50-255e07dad8a6
3d44812e-0506-5b82-b79f-32194c72258b|24829cd1-53eb-5acb-9945-2df76e90574c
3d44812e-0506-5b82-b79f-32194c72258b|ce8c354d-031c-545d-8dd1-2b452a725b0a
